License ID,Trade Name,Address,City,State,Zip Code,Report Type
"134253","Rebec Vineyards","2229 N Amherst HWY","Amherst","VA","24521","Beer Shipper - In State (Industry)",
"753804","Redbeard Brewing Company","120 S Lewis ST","Staunton","VA","24401","Beer Shipper - In State (Industry)",
"136580","Resolution Winery LLC","2214 W Washington ST","Petersburg","VA","23803","Beer Shipper - In State (Industry)",
"752409","Revalation Vineyards","2710  Hebron Valley RD","Madison","VA","22717","Beer Shipper - In State (Industry)",
"028552","Rio Hill Wine & Gourmet","1908  Rio Hill CTR","Charlottesville","VA","22901","Beer Shipper - In State (Industry)",
"032375","Rockbridge Vineyard Inc","35  Hillview LN","Raphine","VA","24472","Beer Shipper - In State (Industry)",
"091419","Rogers Ford Farm Winery","14674  Rogers Ford RD","Sumerduck","VA","22742","Beer Shipper - In State (Industry)",
"061654","Rosemont of Virginia","1050  Blackridge RD","La Crosse","VA","23950-2915","Beer Shipper - In State (Industry)",
"134448","SILVER DOG VINEYARDS","139  Feathers LN","LINDEN","VA","22642","Beer Shipper - In State (Industry)",
"135296","Saga Meadery","56 E Main ST","Luray","VA","22835","Beer Shipper - In State (Industry)",
"133140","Sage Bird Ciderworks","325 N Liberty ST","Harrisonburg","VA","22802","Beer Shipper - In State (Industry)",
"090887","Saude Creek Vineyards","16230  Cooks Mill RD","Lanexa","VA","23089","Beer Shipper - In State (Industry)",
"134665","Screwtop","1025 N Fillmore ST","Arlington","VA","22201","Beer Shipper - In State (Industry)",
"094826","Septenary Winery","200  Seven Oaks Farm N/A","Greenwood","VA","22943","Beer Shipper - In State (Industry)",
"132756","Seven Lady Vineyards","1500  Manakin RD","Manakin-Sabot","VA","23103-2503","Beer Shipper - In State (Industry)",
"752413","Shenandoah Vineyards","3659 S Ox RD","Edinburg","VA","22824","Beer Shipper - In State (Industry)",
"134193","Silver Branch Warrenton Station","41  Beckham St ST","Warrenton","VA","20186","Beer Shipper - In State (Industry)",
"088044","Silver Hand Meadery","224  Monticello AVE","Williamsburg","VA","23185","Beer Shipper - In State (Industry)",
"134892","Skylark Farm","24981  Blue Ridge PKWY","Vesuvius","VA","24483","Beer Shipper - In State (Industry)",
"088184","Slater Run Vinyards","7570  Plum Run LN","Upperville","VA","20184","Beer Shipper - In State (Industry)",
"135990","Star in the Valley Winery","33  Amos LN","Strasburg","VA","22657","Beer Shipper - In State (Industry)",
"752865","Starr Hill Brewery","5391  Three Notch d RD","Crozet","VA","22932","Beer Shipper - In State (Industry)",
"068918","Stinson Vineyards","4744  Sugar Hollow RD","Crozet","VA","22932","Beer Shipper - In State (Industry)",
"095704","Stone Mountain Vineyards","1376  Wyatt Mountain RD","Dyke","VA","22935","Beer Shipper - In State (Industry)",
"083432","Stone Tower Winery LLC","19925  Hogback Mountain RD","Leesburg","VA","20175","Beer Shipper - In State (Industry)",
"755110","Stoney Brook Vineyards and Winery","518  Stoney Battery RD","Troutville","VA","24175","Beer Shipper - In State (Industry)",
"062161","Sunset Hills Vineyard","38295  Fremont Overlook LN","Purcellville","VA","20132","Beer Shipper - In State (Industry)",
